question,optionA,optionB,optionC,optionD,solution
The highest mountains on earth namely Mount Everest K2Kanchenjanga are located in,the greater Himalayas,the lesser Himalayas,the outer Himalayas,None of the above,1
Which of the following symptoms is NOT typical of mania? ,Bursts of activity,Intense emotions,Persistence,Wild plans,3
For which Sci-Fi film did Swiss artist H R Giger win an Oscar for Best Visual Effects in 1980?,Independence Day,Aliens,Guardians of the Galaxy,E.T. ,2
Light year is a measurement of,speed of airplanes,speed of light,stellar distances,speed of rockets,3
Drew Barrymore Cameron Diaz and Lucy Liu starred together in which action film?,Charlie's Angels ,Kiss Kiss Bang Bang,Jurassic Park ,Die Hard ,1
The main argument of Marx and Engels' Communist Manifesto was that,all nations should have developed communism instead of capitalism,the working class would gain wealth and be absorbed into the upper class,the working class would revolt and seize the means of production from the rich,capitalism would evolve naturally and peacefully into communism,3
In the fairy tale about the princesses who dance all night who discovers their secret?,A witch,A prince,A soldier,A woodcutter,3
Which was the last of the British colonies founded along the U.S. Atlantic coast?,Georgia,New Jersey,New Hampshire,Carolina,1
Who is Australia's only Formula One driver?,Lewis Hamilton,Michael Schumacher,Mark Webber,Sebastian Vettel,3
Which is the most widely spoken language in the world?,English,Hindi,Spanish,Chinese Mandarin,4
Who wrote the Twilight series of novels?,Sonia Myer,Sally Field,Seraphina Jones,Stephanie Meyer,4
Amalgams are,highly coloured alloys,alloys which contain mercury as one of the contents,alloys which have great resistance to abrasion,alloys which contain carbon,2
In which country did Ice Hockey originate?,Canada,England,Switzerland,Germany,1
In 1999the term Y2K became widely publicized. What did it mainly refer to?,A virus attacking the central nervous system,A bug in computer programs,The end of the world as described in biblical terms,Globalization,2
What was the outcome of the Reformation?,Catholic church splintered into other christian faiths,Catholic church became more powerful,Art and philosophy flourished,People lost their love of education,1
How long does the average elephant live?,20 years,50 years,70 years,120 years,3
What is the name of the Lion Prince (the lead character) in the movie 'Lion King'?,Mufasa,Simba,Scarf,Luna,2
Sound travels with a different speed in media. In what order does the velocity of sound increase in these media?,Water iron and air,Iron air and water,Air water and iron,Iron water and air,3
The monetary currency of Greece prior to January 1 2002 was called,guilder,drachma,yen,dinar,2
The Aryans were members of what linguistic group?,Semitic,Egyptian,Manitic,Indo-European,4
To which sport does the 'butterfly' stroke belong?,Ice Hockey,Swimming,Ice Skating,Cycling,2
Which of these is not one of the seven dwarves?,Happy ,Dippy,Grumpy,Dopey ,2
The rock formations that cannot store groundwater are called,aquifers,aquicludes,perched aquifer,spring,2
The character of Maleficent appears in which fairy tale?,Snow White,Thumbelina,Red Rose,Sleeping Beauty,4
"In 2016, German Bernd Schmidt set a new world record of 8.8cms (about 3.5 inches) for the:",Longest nose,Biggest mouth gape,Most sticking-out ear,Longest big toe,2
A computerised emissions testing fraud in 2016 created multi-billion penalties and reputational damage for:,Ryanair,Volkswagen,The White House,The City of London,2
Professional footballer and 7th dan karate master Boyko Borisov quit in 2016 as Prime Minister of:,France,Spain,Bulgaria,Japan,3
What global health threat did the World Health Organization declare in January 2016:,Zika Virus,Bird Flu,Indian Swine Flu,Mumps,1
"Stolen in 2002 from Amsterdam and recovered in 2016, Seascape at Scheveningen and Congregation Leaving the Reformed Church in Nuenen are paintings valued at $100m by:",Tracy Emin,Andy Warhol,Vincent Van Gogh,Damien Hirst,3
In August 2016 which nation's senate voted to impeach its president Dilma Rousseff:,South Africa,Canada,Brazilian,Ireland,3
Whose 2016 book is 'Leonard: My Fifty-Year Friendship with a Remarkable Man'?,Marvin Hagler,William Shatner,Joni Mitchell,Harry Shearer,2
The corporate reward/motivation 'Theory' for which Oliver Hart and Bengt R Holmström received the 2016 Nobel Economics Prize is called:,Crime,Contract,Delusion,Greed,2
"Irvine Welsh's 2016 book The Blade Artist, catching up with Begbie, is a follow-up to:",Clockwork Orange,Trainspotting,Fifty Shades of Grey,Bridget Jones's Diary,2
The 2016 UEFA European Championship was won by:,Germany Russia Japan,Spain,Portugal,Iceland,3
How many pairs of wings does a bee have?,1,2,3,4,2
Which kind of flower bulbs were once exchanged as a form of currency?,Roses,Daisies,Gardenias,Tulips,4
What year was Walt Disney born?,1900,1912,1901,1905,3
How many Earths could fit inside the sun?,3,1300,13000,1.3 million,4
What year was the very first model of the iPhone released?,2006,2007,2008,2009,2
How many of the speeches in Shakespeare's plays are recited by women?,17%,33%,52%,73%,1
What was Marilyn Monroe's natural hair color?,Brown,Blonde,Ginger,Black,3
Which singer’s real name is Stefani Joanne Angelina Germanotta?, Lady Gaga, Cardie B, Lizzo, Hasley,1
What is the national animal of Pakistan? ,Peacock, Markhor, Lion, Eagle,2
A la Crecy is a French dish made of what?, Apples, Carrots, Potatoes, Pears,2
Brazil is the biggest produces of?, Rice, Oil, Coffee, Wheat,3
What does a funambulist walk on?, Funicular, Rooftops, Tight rope, Fire,3
Area 51 is located in which US state?, Nuevo Mexico, Arizona, Nevada, California,3
How many colors are there in a rainbow?,5,6,7,8,3
What is Cynophobia the fear of?, Movies, Circular shapes, Holes, Dogs,4
The Flag of the European Union has how many stars on it?,10,11,12,13,3
"When one is ""envious"" they are said to be what color?", red, yellow, green, white,3
"What does the ""G"" mean in ""G-Man""?", Government, Great, Go, Green,1
What is the last letter of the Greek alphabet?, Alpha, Beta, Omega, Gama,3
"When did the website ""Facebook"" launch?",2001,2002,2003,2004,4
"What was the original name of the search engine ""Google""?", Yahoo, SearchIT, BackRub, AIM,3
Where did the pineapple plant originate?, South America, Africa, Southeast Asia, North America,1
Which country has the most Trappist breweries?, Germany, Check Republic, Belgium, The Netherlands,3
What year was Queen Elizabeth II born?,1926,1928,1930,1932,1
What year was the RoboSapien toy robot released?,2000,2002,2004,2006,3
Mauve is a shade of what?, Blue, Purple, Green, Red,2
What would grow if you planted the seeds of Quercus robur?, Bushes, Trees, Flowers, Grass,2
Which of the following ingredients is not normally used to brew beer?, Hops, Yeast, Malt, Vinegar,4
What geothermal Icelandic site has the same name as a 1980 movie?, Wanadu, The Shining, Heaven's Gate, The Blue Lagoon,4
"Which European country technically shares a border with Brazil  because one of it's ""overseas departments"" does?", Germany, Belgium, France, Great Britain,3
"What Scottish poet's works inspired the book titles ""Of Mice and Men"" and ""Catcher in the Rye""?", Robert Louis Stevenson, Robert Burns, James Hogg, Walter Alva Scott,2
"What Indian mausoleum was called a ""teardrop... on the cheek of time"" by Nobel Prize in Literature laureate Rabindranath Tagore?", Tomb of Cyrus, The Taj Mahal, Tomb of Jahangir, Humayun's Tomb,2
A study in 2010 concluded that people found more mistakes when they marked essays with a pen of what colour?, Blue, Red, Green, Black,2
"What actor said ""If you had been a public figure since the time you were a toddler... maybe you too would value privacy above all else""?", Leonardo DiCaprio, Jodie Foster, Shirley Temple, Daniel Radcliffe,2
What princess was traditionally called Badr al-Budur before Disney renamed her?, Belle, Anna, Jasmine, Ariel,3
"In Swedish a ""skvader"" is a rabbit with what unusual feature?", Wings, Glasses, Leotard, Giant Hands,1
In 2017 the site Bachtrack.com determined the 10 most performed ballets inthe world. What composer gave us three of them?, Léo Delibes, Sergei Prokofiev, Peter Ilyich Tchaikovsky, Jean-Madeleine Schneitzhoeffer,3
So far which has been the only FIFA World Cup host not to make it out of the group stage?, Sweden, Mexico, United States, South Africa,4
"The ""Tina"" in Tina Fey is short for what name?", Albertina, Valentina, Bettina, Stamatina,4
"Who allegedly wrote the song ""Golden Years"" for Elvis Presley but ended up recording it himself?", Elton John, Van Morrison, David Bowie, Marvin Gaye,3
Who's the only athlete who ever lit the cauldron for an Olympics and then won a gold medal at those same games?, Midori Ito, Cathy Freeman, Wayne Gretzky, Usain Bolt,2
What French entertainer had a pet cheetah named Chiquita?, Jacques Tati, Josephine Baker, Maurice Chevalier, Edith Piaf,2
In 1986 a US court of appeals ruled that this magic-practising movement qualifies as a religion:, Wicca, Scientology, Nation of Yahweh, Iglesia Maradoniana,1
What is the second largest country by area and for which its largest city is its capital?, Canada, China, Brazil, Argentina,4
What scientist challenged church dogma but was nevertheless buried in a Catholic cathedral in Poland?, Leonardo da Vinci, Copernicus, Bertrand Russell, Aristotle,2
"Who dedicated ""Atlas Shrugged"" to both her husband and her boyfriend?", Flannery O'Connor, Virginia Wolf, Ayn Rand, Margaret Atwood,3
"What writer with a highfalutin reputation used jokes about passing wind in such plays as ""The Comedy of Errors"" and ""Othello""?", Christopher Marlowe, Henry Howard, Thomas Middleton, William Shakespeare,4
What singer was born in Havana in 1957 and the daughter of a bodyguard employed by dictator Fulgencio Batista?, Gloria Estefan, Celia Cruz, Jennifer Lopez, Selena,1
Although it freed itself from the United States in 1946 what nation’s Independence Day celebrates its declaration of independence from Spain in 1898?, Mexico, The Philippines, Argentina, Guatemala,2
Who used his own namesake manoeuvre when he saw that a woman at his retirement home was choking in 2016?, Henry Harryhausen, Henry Heimlich, Henry Howard, Henry Hamm,2
What country's land is mostly on an island although most of its people live on  apeninsula across the South China Sea?, Malaysia, Indonesia, Thailand, Papa New Guinea,1
Gioachina Rossini's last opera produced in 1829 complete with Swiss alphorns:, The Marriage of Figaro, Don Giovanni, The Barber of Seville, William Tell,4
Which of the following is not a subatomic particle?, Hadron, Boson, Muon, Scion,4
The world’s oldest known musical instruments are 42000-year-old flutes made from bird bone and the ivory of what mammal?, Megalodon, Mammoth, Saber-toothed tiger, Dire wolf,2
Who became famous for painting New Mexico landscapes from her Model A Ford?, Frida Kahlo, Giorgia O'Keeffe, Helen Frankenthaler, Tamara de Lempicka,2
Which country should you visit if you want to spot a wild platypus?, Australia, New Zeland, Mexico, Ecuador,1
Mauritius is the only African country where the most commonly practised religion is what?, Mormonism, Hinduism, Protestantism, Atheism,2
Kersti Kaljulaid was 46 years old when she became the youngest president ever elected to lead which country?, Belarus, Lithuania, Latvia, Estonia,4
Queen Mary Tudor of England is better known to history by what name?, Crazy Mary, Screaming Mary, Bloody Mary, Crying Mary,3
The “Eddie Murphy Rule” banned certain kinds of insider trading in commodities markets. It was inspired by Murphy’s role in what film?, 48 Hrs, Trading Places, Beverly Hills Cop, Coming to America,2
What two Renaissance artists were commissioned to paint rivalling frescoes at the Palazzo Vecchio in Florence?, Donatello and Botticelli, Raphael and Caravaggio, Titian and Masaccio, Leonardo da Vinci and Michelangelo,4
What flightless bird that is now extint was last seen on an island off the coast of Iceland?, Saint Helena hoopoe, Amsterdam wigeon, The great auk (Pinguinus impennis), Jamaican caracara,3
Arancini is an Italian delicacy. Its name means “little orange” but it’s actually made mostly of what?, Lamb, Rice, Tagliatelle, Egg,2
What species has the largest eyes among land animals?, Tarsier, Gibbon, Owl, Ostrich,4
Humphrey Bogart won his only Oscar for what motion picture?, The Maltese Falcon, The African Queen, The Caine Mutiny, Casablanca,2
What historic figure was assassinated near the Miljacka River in 1914?, Nicholas II, William McKinley, Carlos I, Franz Ferdinand,4
Which is the southernmost country in the European Union with no Mediterranean coastline?, Portugal, Spain, France, Switzerland,1
What comedy became the first film directed by a woman to gross over $100 million at the box office?, A League of Their Own, Big, Clueless, Bend It Like Beckham,2
How long did Queen Victoria reign for?, 63 years and seven months, 57 years and two months, 65 years and four months, 59 years and ten months,1
Taj Mahal was constructed as a tomb of the wife of which Mughal Emperor?, Shah Jahan, Humayun, Jahangir, Aurangzeb,1
Who is considered the Goddess of Agriculture according to Greek mythology?, Hera, Rhea, Leto, Demeter,4
Where does the Greek Goddess Persephone spend half of the year when she is not with her mother?, Kommos, Underworld, Mount Ida, Acheron River,2
What was the name of Henry VIII’s first wife?, Catherine of Aragon, Catherine Howard, Anne Boleyn, Anne of Cleves,1
What did the Romans call Scotland?, Caledonia, Highlands, Scotia, Hibernia,1
Who is the first female Prime Minister of Australia?, Golda Meir, Julia Gilliard, Indira Gandhi, Agatha Barbara,2
In which year was Joan of Arc burn at stake?,1431,1392,1512,1453,1
In which year America was declared independent from England?,1775,1776,1785,1786,2
Which two houses were involved in the War of the Roses?, York and Lancaster, Tudor and York, Lancaster and Roses, Tudor and York,1
When is World Literacy Day celebrated?, January 12, April 20, September 8, November 10,3
Which date is celebrated as World Environment Day?, June 5, July 6, August 8, September 4,1
When is Earth's Day celebrated?, April 11, April 15, April 22, April 25,3
What do the mycologists study?, Bacteria, Mushroom, Algae, Plants,2
How many bones are ther in an elephant's trunk?,0,1,7,13,1
Who discovered the Penicillin vaccine?, Marie Curie, Alexander Fleming, Louis Pasteur, Howard Florey,2
Which body part is removed in a Glossectomy?, Ear, Nose, Tongue, Gland,3
Which was the first American satellite to successfully reach the surface of Mars?, Mariner 8, Mariner 9, Saturn 5, Saturn 6,2
How long does Mercury take to revolve around the sun?, 68 days, 74 days, 88 days, 91 days,3
What is the name of the strongest and longest bone in the human body?, Tibia, Radius, Femur, Fibula,3
Which is the nearest galaxy to Milky Way?, Antilia, Pegasus, Sextans, Andromeda,4
What is the study of the function of various systems of organism known as? ,Physiology, Anatomy, Biology, Nephrology,1
Which vitamin can be obtained from sunlight?, Vitamin E, Vitamin D, Vitamina C, Vitamin A,2
Fibula is found on which body part?, Arm, Neck, Leg, Thorax,3
How many permanent teeth do dogs have?,35,38,40,42,4
How many hearts does an octopus have?,1,2,3,4,3
Which metal is the most reactive?, Potassium, Magnesium, Aluminium, Iron,1
Where will you find the smallest bone in the human body?, Hand, Foot, Ear, Mouth,3
Which Apollo mission was the first successful mission to land on the moon?, Apolo 10, Apolo 11, Apolo 12, Apolo 13,2
What will be 120% of 20?,20,22,24,26,3
What is six cubed?,180,216,261,1296,2
Where is the headquarters of the International Atomic Energy Agency?, Brussels, Geneva, Luxembourg, Vienna,4
Which country is known as the sugar bowl of the world?, Brazil, Cuba, Colombia, Mexico,2
Which fruit will you find at the top of the trophy of the Men’s Wimbledon?, Grapes, Apple, Banana, Pineapple,4
How many horses are on each team in a polo match?,3,4,5,6,2
Who is the writer of the famous Kafka on the Shore?, Haruki Murakami, Yoko Murakami, Banana Yoshimoto, Keigo Higashino,1
What is the best-selling novel of all time?, The Little Prince, Don Quixote, Da Vinci Code, The Lord of the Rings,2
"Where is the ""Festival Internacional Cervantino"" celebrated?", Spain, Mexico, Guatemala, Portugal,2
What is the hottest chili pepper in the world?, California Pepper, Habanero, Jalapeno, Ghost Pepper,1
What is the real name of David Bowie?, David Joseph, David Jones, David Martin, David Bailey,2
How many notes are there in a musical scale?,5,7,11,13,2
In what year did the UK's lease on Hong Kong expire?,1970,1988,1997,2002,3
Which Chinese dynasty lasted from 1368 to 1644?, Qin, Xin, Ming, Tang,3
What was the third country to get the atomic bomb?, France, China, Pakistan, Britain,4
In Which Year Was The Boeing 747 Put Into Regular Service?,1970,1975,1980,1985,1
Who led 900 followers in a mass suicide in 1979?, John Baker, Jim Jones, Leo Ryan, Marceline Bryan,2
Approximately how many children did pharaoh Ramses II father?,20,70,160,200,3
What year did Star Wars: Galaxy’s Edge open at Disneyland Resort in California?,2018,2019,2020,2021,2
Which animated TV show created three special episodes that parodied the original Star Wars trilogy?, Family Guy, American dad, The Simpsons, South Park,1
So far who is the first and only Disney princess with a tattoo?, Jasmin, Pocahontas, Mulan, Ariel,2
Who is the first Disney princess to have a child?, Ariel, Cindirella, Rapunzel, Sleeping Beauty,1
What is the highest-grossing romantic comedy?, What Women Want, Hitch, Pretty Woman, My Big Fat Greek Wedding,4
What is the oldest surviving film in existence?, Roundhay Garden Scene, Grandma's Reading Glass, Traffic Crossing Leeds Bridge, Mary Jane's Mishap,1
Which Friends character was Courteney Cox originally asked to play?, Phoebe, Coffee girl, Rachel, Ursula,3
Which high school subject did Walter White teach in Breaking Bad?, Physics, Chemistry, Math, History,2
Who’s the protagonist in Lord of the Flies?, Ralph, Piggy, Jack, Roger,1
When is Mexico's independence celebrated?, May 5, August 24, September 16, November 20,3
"Where did the ""Pastry War"" take place?", US, France, Mexico, Portugal,3
Who was the Aztec god of war and the sun?, Quetzalcoatl, Huitzilopochtli, Quetzalcoatl, Ahuizotl,2
"""And away we go""",Jerry Reed,Audrey Meadows,Jackie Gleason,Art Carney ,3
Cows regurgitate this from the first stomach to the mouth & chew it again,the cud ,the spit, the quid,the bolus,1
In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Pamban Island,Kachchatheevu,Mannar Island,Ceylon (or Sri Lanka),4
Objects that pass closer to the sun than Mercury have been named for this mythological figure,Sol,Icarus,Surya,Apollo ,2
Sound navigation& ranging is the full name for this device that bounces radio waves underwater,sonar,radar,eco,radio,1
Peaches are more than 80% this compound,CO2,NO3,OH-,H20,4
5-letter word for the hard interior of a peach,heart,seeds,stone,intra,3
Who among the following is considered as the inventor of the World Wide Web (WWW)?,A. Edward Kasner,Bill Gates,Tim Berners - Lee,Vinod Dham,3
What is a part of a database that holds only one type of information?,Report,Field,Record,File,2
Capital city of Algeria?,Algiers,Addis Ababa,St. Pierre,Yamuossuokro,1
The Mau Mau were terrorists in which country late 50s early 60s?,Kenya,Sudan,Malaysia,Ghana,1
What was the name of the atom bomb dropped on Hiroshima?,Little Boy,Bad Boy,Fat Boy,Good Boy,1
Which English Monarch succeeded William III of Orange?,Charles II,James II,James I,Mary II,4
"What are the cannibalistic beasts called in H.G. Wells book ""The Time Machine""?",Warlocks,Morlocks,Yahoos,Triffids,2
Who does Mr. Brownlow rescue?,Tom Jones,Huckleberry Finn,Oliver Twist,Tom Brown,3
In which book is there an inn called Admiral Benbow?,Peter Pan,Lord of the Rings ,Gulliver Travels,Treasure Island,4
In the book 'The Last Of The Mohicans' what was the name of Chingachgook's only son?,Lightfoot,Uncas,Mingo,Magua,2
In which Italian city do Romeo and Juliet live?,Verona,Naples,Milano,Pisa,1
Who manged the punk group 'The Sex Pistols'?,John Lydon ,Malcolm McClaren,Sid Vicious,They were unmanagable ,2
Barry Manilow had a hit with which song?,Candy,Randy,Mandy,Dandy,3
Which ship was hit for the Beach Boys?,Proud Mary,Mississippi Queen,Rainbow Warrior,Sloop John B. ,4
Who appeared a record 106 times on Top Of The Pops?,Adam and the Ants,Status Quo,T-Rex,The England World Cup Squad,2
What was a hit for the Pretenders?,Stop your sobbing,Crying in the rain,Tears on my pillow,Tears of a clown,1
Which animal was a hit for Jefferson Airplane?,White Horses,White Dove,White Rabbit,Ride a white Swan,3
What is Smokey Robinson's real name?,Joe Robinson,Somkey Robinson,Samuel Robinson,William Robinson,4
Which band was not a trio?,America,Wings,ELP,Cream,2
What lives in a Formicarium,Turtiles,Apes,Butterflies,Ants,4
Who said 'nature abhors a vacuum'?,Aristotle,Einstein,Galileo,Newton,3
Which of the following animals are not rodents?,Hedgehogs,Rats,Gophers,Chipmunks,1
A blue Whale has a heart roughly the size of a what?,Basketball,VW Beetle,Grapefruit,Peaunt,2
How many holes are there on a ten pin bowling ball?,3,4,2,5,1
How many Olimpic gold medals did mark Spitz win in Munich in 1972?,5,6,7,8,3
Which sport is played at Hickstead?,Rally Car Racing,Cricket,Polo,Show Jumping,4
Wedel' is a term in which sport?,Darts,Skiing,Chess,Formula one,2
Figure skating champion Elvis Stojko was from which country?,Russia,USA,Bulgaria,Canada,4
Which NHL hockey team has won the most Stanley Cups?,Montreal Canadiens,Toronto Maple Leafs,Boston Buins,New York Rangers,1
A 'Miller' is a move in which sport?,Diving,Chess,Trampolining,Ice Hockey,3
Who was dubbed the Elephant Man,John McCririck,John Merrick,John McEnroe,John Martin,2
Duchess is a cat in which film?,Aristocats,Lethal Weapon,101 Dalmatians,Men in Black,1
Which of the following was not a character in Disney's Pocahontas?,Flit,Chief Powhatan,Lon,Mooky,4
Which American President was a famous film/TV star before he became president?,J.F. Kennedy,Geraid R Fond,Richard Nixon,Ronald Regan,4
Joseph Barbera created which one of the following famouse cartoon characters?,Spiderman,Mickey Mouse,Tom and Jerry,Phantom,3
In which one of the following films did the Nobel Laureate Pearl S Buck collaborate?,Shatranj Ke Khilari,Guide,Lawrence of Arabia,Titanic,2
Louis Skidmore designed the secret atomic site that became this Tennessee town,Oak Ridge,Nashville,Clarksville,Memphis,1
The mainland peninsula closest to Russia is named for this man,Edwin Stanton,Lewis Powell,Gideon Wellles,William Seward,4
New Zealand-born Jonah Lamu is tops on the pitch of this sport,Polo,Cricket,Rugby,Swimming,3
David Ben-Gurion went to the U.S. in 1915 when this empire exiled Zionists from Palestine,Byzantine Empire,Ottoman Empire ,Roman Empire,British Empire,2
The alamo is located in this city,San Antonio,Dallas,Houston ,Austin,1
If you're triskaidekaphobic you're afraid of this number,3,7,13,666,4
In February 1904 this country attacked the Russian fleet at Port Arthur,China,Taiwan,Japan,Korea,3
This Puccini opera turns on the solution to 3 riddles posed by the heroine,Turandot,Tosca,La boheme,Madama Butterfly,1
Capital on the Suriname River,Caracas,Paramaribo,Georgetown,Manaus,2
Nightingales & robins belong to this family of melodious songbirds,grebes,crows,lyrebirds,thrushes,4
It's home to the Holmenkollen ski jump,Helsinki,Stockholm,Oslo,Reykjavik,3
This city has a museum devoted to composer Zoltan Kodaly,Debrecen,Miskolc,Eger,Budapest,4
"""Heat of the moment""",Boston,Asia,Dave Stewart,Camel,2
"""A horse with no name""",America,Asia,Boston,ELO,1
Robert Cobb invented one of these,a dessert,main dish,salad,snack,3
This Oglala Sioux chief attacked Custer at Little Big Horn,American Horse,Crow Dog,Red Fish,Crazy Horse,4
An estimated 50-80% of all life on earth is found under the ocean surface and the oceans contain what percentage of the living space on the planet?,99%,95%,79%,89%,2
What is the rarest bug in the world?,Panda ant,Title Beetle,Land/Tree lobster,Karner butterfly,3
What is the world's heaviest insect?,Stresemann's Bristlefront,Dryococelus australis,Land Lobster,Tree weta,3
What is the smallest whale?,Killer whales,Blue whale,Dwarf sperm whale,Humpback whale,3
When did Panama declare independence from Colombia?,17-Jan-55,29-Jun-71,4 July 1776,3-Nov-03,4
Which country is to the west of Panama?,Ecuador,Costa Rica,Peru,Venezuela,2
Which sea is to the north of Panama?,Caribbean,Baltic,Irish,Red,1
"Who ordered the execution of Vasco Nunez de Balboa?	",Pedro Arias de Avila,Hernando Cortez,Francisco Pizarro,Amerigo Vespucci,1
Who razed Portobelo in 1739?,Francis Drake,Edward Vernon,Henry Morgan,Horatio Nelson,2
When was Panama Canal opened?,1-Mar-96,20-May-02,15-Aug-14,16-Dec-05,3
Who designed Panama's flag?,Manuel Amador ,Joe Agustin,Belasario Porras,Maria de la Ossa,1
Which is the currency of Panama?,Balboa,Lats,CFA Franc,Rouble,1
Who is the first woman to be elected as the president of Argentina?,Corazin Aquino,Eva Peron,Cristina Fernandez de Kirchner,Isabella Peron,3
Who was the President of Argentina during its war with UK in 1982?,Juan Peron,Carlos Menem,Leopoldo Galtieri,Raul Alfonsin,3
What is the land between Panama and Uruguay rivers called?,Assyria,Mesopotamia,Patagonia,Babylonia,2
When did Argentina host the Football World Cup?,1974,1986,1978,1994,3
How many gold medals did Argentina win in the Athens Olympics 2004?,1,2,3,5,2
When is the independence day of Argentina?,4-Jul,9-Jul,1-Sep,3-Dec,2
What is 20 June in Argentina?,Constitution Day,Flag Day,Labour Day,Army Day,2
Who was the leading goal scorer in Football World Cup 1978?,Diego Maradona,Danial Passarella,Mario Kempes,Roberto Carlos,3
Who deposed Isabel Peron in 1976?,Jorge Videla,Agustino Pinochet,Roberto Viola,Manuel Belgrano,1
Which islands are known as Islas Malvinas in Argentina?,Virgin Islands,Maldives,Channel Islands,Falkland Islands,4
When did Jamaica become independent?,11-Mar-58,26-Mar-69,6-Aug-62,18-Dec-71,3
What did Christopher Columbus call Jamaica?,Trinidad,Santiago,Valparaiso,Lima,2
Who was Jamaica's governor general in 2007?,Howard Cooke,William Penn,Kenneth Hall,Henry Morgan,3
Who was Jamaica's prime minister in 2001?,Bruce Golding,Portia Simpson Miller,Samuel Hood,Percival Patterson,4
Which is the capital of Jamaica?,Falmouth,Port Maria,Kingston,Port Antonio,3
Which party won Jamaica's general election in 2007?,Conservative Party,Jamaica Revolutionary Party,Jamaica Labour Party,Progressive Party,3
Who got Jamaica its first gold medal in a women's event in Olympics?,Marion Jones,Sanya Richards,Deon Hemmings,Jacqueline Joyner,3
Which is the currency of Jamaica?,Pound,Dollar,Shilling,Mark,2
Which is the official language of Jamaica?,English,Basque,Catalan,Galician,1
What is the area of Jamaica?,4244 sq. mi.,6324 sq. mi.,1926 sq. mi.,5322 sq. mi.,1
When was the opening ceremony of Tokyo Olympics 2020?,24-Jul-20,15-Aug-20,12-Dec-20,23-Jul-21,4
Who declared Tokyo Olympics 2020 open?,Akihito,Shinzo Abe,Naruhito,Yoshihide Suga,3
Who won silver medal in women's 49 weightlifting in Tokyo Olympics 2020?,Mirabai Chanu,Jourdan Delacruz,Cantica Aisah,Zhihui Hou,1
Who won gold medal in men{s skeet in Tokyo Olympics 2020?,Jesper Hansen,Vincent Hancock,Abdullah Al Rashidi,Angad Bajwa,2
Who won gold medal in women's 55 kg weightlifting in Tokyo Olympics 2020?,Hugo Gonzalez,Ryan Murphy,Evgeny Rylov,Kliment Kolesnikov,3
Who won gold medal in women's 100m butterfly in Tokio Olympics 2020?,Marie Wattel,Margaret MacNeil,Emma McKeon,Zhang Yufei,2
Who won gold medal in women's 400m freestyle in Tokyo Olympics 2020?,Ariarne Titmus,Li Bingjie,Katie Ledecky,Erika Fairweather,1
Who won gold medal in women's canoe slalom k-1 in Tokya Olimpics 2020?,Luuka Jones,Maialen Chourraut,Jessica Fox,Ricarda Funk,4
Who won gold medal in men's 73 kg weightlifting in Tokyo Olympics 2020?,Shi Zhiyong,Rahmat Abdullah,Julio Mayora,David Sanchez,1
Where was Adam Smith born?,Aberdeen,Kirkadly,Putney,Glasgow,2
When was Adam Smith baptized?,5 March 1749,5 June 1723,10 September 1736,31 December 1742,2
Which university did Adam Smith enter in 1737?,Edinburgh,Cambridge,London,Glasgow,4
Which book did Adam Smith publish in 1759?,The Theory of Moral Sentiments,The History of Astronomy,Lectures on Jurisprudence,Lectures on Thetoric and Belles Lettres,1
For what was Nobel Prize 2015 for Medicine given?,Discoveries regarding function of neurons,Development of Ivermectin and Artemisinin,Yellow fever discoveries,Discover of Vitamin K,2
Who won Nobel Prize 2015 for Physics?,NASA,Takaaki Kajita and Arthur McDonald,John William Strutt,Johannes Stark,2
For what was Nobel Prize 2015 for Physics given?,Discovery of argon,Discovery of Doppler effect in positive ion rays,Discovering that neutrinos have mass,Exploration of Pluto,3
For what was Nobel Prize 2015 for Chemistry given?,Synthesis of ammonia,Research on carotenoids,Isolation of fluorine,Mapping and explaining how the cell reparis its DNA,4
Who won Nobel Prize 2015 for Literature?,Robert Lawrence Stine,John Le Carre,Gabriela Mistral,Svetlana Alexievich,4
For what was Nobel Prize 2015 for Literature given?,Poems full of love of children and downtrodden,Polyphonic writings - a munument to suffering and courage,Spy stories,Children's horror fiction novels,2
What did Alexander Graham Bell invent?,Radio,Telegraph,Telephone,Television,3
When was Alexander Graham Bell born?,3 March 1847,4 May 1840,22 December 1878,27 July 1862,1
Where was Alexander Graham Bell born?,Boston,Edinburgh,Montreal,New York,2
To which country did Alexander Graham Bell move in 1870?,Australia,Brazil,Canada,Denmark,3
Where did Alexander Graham Bell set up his laboratory?,Los Angeles,Boston,Austin,Washington,2
Who challenged the primacy of Alexander Graham Bell's patent for telephone?,Elisha Gray,Marcellus Bailey,Gardiner Hubbard,Thomas Sanders,1
What was Alessandro Volta's full name?,Alessandro Benito Carlo Volta,Alessandro Giuseppe Antonio Anastasio Volta,Alessandro Giovanni Battista Enrico Maria Volta,Alessandro Eugenio Ambrogio Damiano Volta,2
When was Alessandro Volta born?,18 February 1745,9 April 1740,2 July 1749,1 December 1744,1
Where was Alessandro Volta born?,Locarno,Geneva,Como ,Venice,3
When did Alessandro Volta invent electrophorus?,1772,1769,1664,1775,4
Which gas did Alessandro Volta discover in 1776 and isolate in 1778?,Methane,Neon,Chlorine,Ozone,1
When did Alessandro Volta invent voltaic pile also known as Volta cell?,1802,1800,1804,1814,2
